"OriginalEnglish","Translation","Locations"
"PowerPoint Quick Start","Rychlý start PowerPointu",
"Welcome to PowerPoint","Vítá vás PowerPoint",
"Slides and layouts","Snímky a rozložení",
"Text & tables with PowerPoint","Text a tabulky s PowerPointem",
"Pictures and graphics with PowerPoint","Obrázky a grafika v PowerPointu",
"Present slideshows","Prezentace",
"Animation, video & audio","Animace, video a zvuk",
"Share and co-author with PowerPoint","Sdílení a spolutváění s PowerPointem",
"SharePoint Online Quick Start","Rychlý start SharePointu Online",
"Intro to SharePoint Online","Úvod do SharePointu Online",
"Create sites, posts, and lists","Vytváření webů, příspěvků a seznamů",
"Share and sync with SharePoint","Sdílení a synchronizace se SharePointem",
"Sway Quick Start","Rychlý start swaye",
"Share and access Sway","Sdílení a přístup k Swayi",
"Add content to Sway","Přidání obsahu do Swaye",
"Customize Sway","Přizpůsobit Sway",
"Word Quick Start","Rychlý start aplikace Word",
"Welcome to Word","Vítá vás Word",
"Write and edit with Word","Psaní a úpravy pomocí Wordu",
"Lay out pages with Word","Rozložení stránek pomocí Wordu",
"Insert tables, pictures, and watermarks","Vložení tabulek, obrázků a vodoznaků",
"Save and print with Word","Uložení a tisk pomocí Wordu",
"Share and co-author with Word","Sdílení a spoluautor s Wordem",
"Use Word for reports","Použití Wordu pro sestavy",
"Improve accessibility and ease of use with Word","Zlepšení usnadnění přístupu a snadného používání ve Wordu",
"Add and format text with Word","Přidání a formátování textu pomocí Wordu",
"Yammer Quick Start","Rychlý start Yammeru",
"Roll out a successful Yammer network","Zavedení úspěšné sítě Yammer",
"Use Yammer every day","Používání Yammeru každý den",
"What's New, What's Changed","Co je nového, co se změnilo",
"Plan your learning content","Plánování výukového obsahu",
"Customize learning pathways","Přizpůsobení výukových cest",
"Drive adoption","Podnícení přijetí",
"Measure impact","Měřit dopad",
"Creating a Champion Program","Vytvoření programu šampionů",
"Learn how to get started quickly with Microsoft 365 with six simple steps","Zjistěte, jak rychle začít s Microsoftem 365 pomocí šesti jednoduchých kroků",
"Get started with Teams with seven simple steps. After an overview of teams, channels, and how you can work and collaborate all in one place, learn how to get your team up and running, work in channels, upload and share files, start and pin chats, join a Teams meeting, and manage meetings.","Začínáme s Teams pomocí sedmi jednoduchých kroků. Po přehledu týmů, kanálů a toho, jak můžete pracovat a spolupracovat na jednom místě, se dozvíte, jak tým zpátečni, pracovat v kanálech, nahrávat a sdílet soubory, zastartovat a připnout chaty, připojit se ke schůzce Teams a spravovat schůzky.",
"When you have a place to create and make decisions as a team, there’s no limit to what you can achieve. Learn how to use Teams to bring everything together in a shared workspace where you can chat, meet, share files, and work with business apps.","Když máte místo pro vytváření a rozhodování jako tým, neexistuje žádné omezení toho, čeho můžete dosáhnout. Přečtěte si, jak pomocí Teams spojit vše dohromady ve sdíleném pracovním prostoru, kde můžete chatovat, setkát se, sdílet soubory a pracovat s obchodními aplikacemi.",
"Get things done from virtually anywhere, faster. Learn how to take advantage of the Office integration with OneDrive and SharePoint to access, share, and coauthor documents.","Dokončeme věci prakticky odkudkoliv, rychleji. Přečtěte si, jak využít integraci Office s OneDrivem a SharePointem k přístupu k dokumentům, jejich sdílení a spoluúčasování.",
"Learn how to use OneDrive to share Microsoft Office documents, other files, and entire folders with people. The files and folders you store in OneDrive are private until you decide to share them and you can stop sharing at any time.","Přečtěte si, jak pomocí OneDrivu sdílet dokumenty Microsoft Office, další soubory a celé složky s lidmi. Soubory a složky, které ukládáte na OneDrive, jsou soukromé, dokud se nerozhodnete je sdílet a sdílení můžete kdykoli zastavit.",
"SharePoint powers sharing and collaboration on the intranet. Learn how to manage and share files or folders—within team sites or intranet sites, and inside or outside your organization.","SharePoint pohání sdílení a spolupráci v intranetu. Zjistěte, jak spravovat a sdílet soubory nebo složky v rámci týmových webů nebo intranetových webů a uvnitř nebo vně organizace.",
"Yammer enables connections to people and information from across your organization that you never knew existed. Learn how to use Yammer to discuss ideas, share updates, and crowdsource answers from coworkers from anywhere.","Yammer umožňuje připojení k lidem a informace z celé organizace, o které jste nikdy nevěděli, že existují. Přečtěte si, jak pomocí Yammeru diskutovat o nápadech, sdílet aktualizace a odpovědi na crowdsource od spolupracovníků odkudkoli.",
"Learn how to plan and lead effective hybrid meetings. Learn what to do before, during and after meetings, how to engage an audience and reduce meeting fatigue.","Přečtěte si, jak plánovat a vést efektivní hybridní schůzky. Přečtěte si, co dělat před schůzkami, během nich a po nich, jak zapojit publikum a snížit únavu ze schůzky.",
"Learn how to create inclusie meeting environments, make meetings and related content accessible for all. Limit distractions in meetings and build empathy across time zone.","Přečtěte si, jak vytvořit prostředí pro schůzky v prostředí, která jsou v nekrytých prostorách, zpřístupnit schůzky a související obsah všem. Omezte rozptylování při schůzkách a vybudujte empatii napříč časovým pásmem.",
"Learn how to reduce or replace meetings with asynchronous collaboration. Collaborate and co-author shared content. Collaborate in Teams, SharePoint, and OneDrive.","Přečtěte si, jak omezit nebo nahradit schůzky asynchronní spoluprací. Spolupracujte a spolupracujte na sdíleném obsahu. Spolupracujte v Teams, SharePointu a OneDrivu.",
"Learn how to use Microsoft Teams for live events. Organize a live event in the new Yammer. Schedule a live event in Yammer using Teams.","Přečtěte si, jak používat Microsoft Teams pro živé události. Zorganizujte živou událost v novém Yammeru. Naplánovat živou událost v Yammeru pomocí Teams.",
"Learn how to practice self-care for your personal well-being. Block your calendar for meals, breaks, and movement. Set boundaries by setting your status in Microsoft Teams to indicate free or busy. Connect with others through a Teams channel for ongoing social work or work-related conversations. Manage notifications in Teams to determine how, when, and where your notifications appear. Turn on Focus assist in Windows 10 to avoid distractions when you need to stay focused.","Naučte se, jak praktikovat péči o sebe sama pro své osobní pohody. Zablokujte kalendář pro jídlo, přestávky a pohyb. Nastavte hranice nastavením stavu v Microsoft Teams tak, aby označoval informace o volném čase nebo zaneprázdnění. Spojte se s ostatními prostřednictvím kanálu Teams a vychutnáte si probíhající sociální práci nebo konverzace související s prací. Spravujte oznámení v Teams a určete, jak, kdy a kde se vaše oznámení zobrazují. Zapněte asistenta fokusu ve Windows 10, abyste se vyhnuli rozptýlení, když potřebujete zůstat soustředění.",
"Social capital and other measures of social connection are associated with better health and job satisfaction. To stay connected in a hybrid workplace, learn how to create social channels using Teams meetings and chat to host small group lunches, social hours, and other casual spaces that can mimic the ""water cooler"" in the office regardless of work location. Keep regularly scheduled 1:1s and consider splitting one 1:1 meeting into 2 shorter meetings throughout the week. Channel conversations in Teams are also a great way to keep the whole team in the know.","Sociální kapitál a další opatření sociálního propojení jsou spojena s lepším zdravím a spokojeností s prací. Chcete-li zůstat ve spojení na hybridním pracovišti, přečtěte si, jak vytvořit sociální kanály pomocí schůzek Teams a chatu pro pořádání malých skupinových obědů, společenských hodin a dalších příležitostných prostor, které mohou napodobovat ""chladič vody"" v kanceláři bez ohledu na místo práce. Udržujte pravidelně naplánované 1:1s a zvažte rozdělení jednoho setkání 1:1 na 2 kratší schůzky po celý týden. Konverzace v Teams jsou také skvělým způsobem, jak udržet celý tým v ězm.",
"Set up your physical and virtual workspace for productivity. Learn which tasks and meeting types are better for hybrid work or in-person work so that you can plan your schedule ahead of time. Create focus time in Teams, set quiet hours and quiet days, and set a status message in Teams. For team productivity, decide which days are best for in-person meetings and what type of work can be done remotely. Also decide when meetings (in person or remote) are necessary and when are they optional.","Nastavte fyzický a virtuální pracovní prostor pro produktivitu. Zjistěte, které úkoly a typy schůzek jsou lepší pro hybridní práci nebo osobní práci, abyste mohli plán naplánovat předem. Vytvořte čas soustředění v Teams, nastavte klidovou dobu a klidné dny a nastavte stavovou zprávu v Teams. Pro produktivitu týmu se rozhodněte, které dny jsou nejlepší pro osobní schůzky a jaký typ práce lze provést na dálku. Rozhodněte se také, kdy jsou schůzky (osobně nebo na dálku) nezbytné a kdy jsou nepovinné.",
"Microsoft 365 and the power of the cloud make it easy for you to work in new and more productive ways, from anywhere, on any device.","Microsoft 365 a výkon cloudu usnadňují práci novými a produktivnějšími způsoby odkudkoli a na jakémkoli zařízení.",
"How teams connect and exchange information is evolving. People expect to collaborate with teammates, wherever they are located.","Vyvíjí se způsob, jakým se týmy propojují a vyměňují si informace. Lidé očekávají spolupráci se spoluhráči, ať už se nacházejí kdekoli.",
"Discover new ways to simplify your workday with Office365","Objevte nové způsoby, jak zjednodušit pracovní den s Office365",
"Keep your computer secure at work, learn about multi-factor authentication, firewall and network protection in Windows security, and prevent changes to security settings with Tamper Protection.","Udržujte počítač v bezpečí, seznamte se s vícefaktorovým ověřováním, bránou firewall a ochranou sítě v zabezpečení systému Windows a zabraňte změnám nastavení zabezpečení pomocí ochrany proti neoprávněné manipulaci.",
"Get tips to keep your data safe and help protect your family online with Windows Security.","Získejte tipy, jak udržet data v bezpečí a chránit rodinu online pomocí zabezpečení systému Windows.",
"Protect yourself from phishing, avoid tech support scams, stay protected with Windows security and work from home more securely.","Chraňte se před phishingem, vyhněte se podvodům technické podpory, zůstaňte chráněni zabezpečením systému Windows a pracujte bezpečněji z domova.",
"Microsoft Teams and Office 365 help you get work done—with others and on your own—wherever you are today.","Microsoft Teams a Office 365 vám pomůžou pracovat s ostatními a s vámi, ať jste dnes kdekoli.",
"Do your best work together. With Office 365, you can collaborate with anyone, anywhere.","Dělejte, co můžete, společně. S Office 365 můžete spolupracovat s kýmkoli a kdekoli.",
"With Access, you can build a database without writing code or being a database expert","V aplikaci Access můžete vytvořit databázi bez psaní kódu nebo jako odborník na databáze",
"With Access, you can build a database without writing code or being a database expert.","V aplikaci Access můžete vytvořit databázi bez psaní kódu nebo jako odborník na databáze.",
"To create a desktop database quickly, use one of the many templates provided with Access. Or, if you don’t find a template that meets your needs, create a database from scratch.","Chcete-li vytvořit desktopovou databázi rychle, použijte jednu z mnoha šablon dodáácích s aplikací Access. Nebo pokud nenajdete šablonu, která vyhovuje vašim potřebám, vytvořte databázi od začátku.",
"Learn how to build tables and set data types","Naučte se vytvářet tabulky a nastavovat datové typy",
"Once you have tables in your database, learn how to build relationships between them.","Jakmile máte tabulky v databázi, přečtěte si, jak mezi nimi vytvářet vztahy.",
"If your list is getting hard to manage in Excel, it’s a good idea to move it into Access so you can take advantage of its querying and reporting features.","Pokud je v Excelu správa seznamu stále těžko spravovatelný, je dobré ho přesunout do Accessu, abyste mohli využívat jeho funkce dotazování a vytváření sestav.",
"Use queries to answer business or other questions based on data and to quickly and easily make bulk updates or to delete information from the database.","Pomocí dotazů můžete odpovídat na obchodní nebo jiné otázky založené na datech a rychle a snadno provážete hromadné aktualizace nebo mazáte informace z databáze.",
"If you often use the same set of forms and reports, create a navigation form that groups them together.","Pokud často používáte stejnou sadu formulářů a sestav, vytvořte navigační formulář, který je seskupí dohromady.",
"Before you share your database with others, put the information in a format that’s easy to understand. View, format, and summarize the information in your database with reports.","Než budete databázi sdílet s ostatními, vložte informace do snadno srozumitelného formátu. Zobrazení, formátování a shrnutí informací v databázi pomocí sestav.",
"Learn to creating backup copies of your desktop database to recover your vital data when the Undo command isn’t enough to fix a mistake, restore a missing object, or untangle corrupted data.","Naučte se vytvářet záložní kopie desktopové databáze, abyste obnovili důležitá data, když příkaz Zpět nestačí k opravě chyby, obnovení chybějícího objektu nebo zrušení rozmotání poškozených dat.",
"Learn how to create Access charts, including column, bar, line, pie and combine chars.","Přečtěte si, jak vytvořit přístupové grafy, včetně sloupců, pruhů, řádku, výsečových grafů a kombinování znaků.",
"Before sending your email message or sharing your document or spreadsheet, run the Accessibility Checker to make sure your Microsoft Office content is easy for people of all abilities to read and edit.","Před odesláním e-mailové zprávy nebo sdílením dokumentu nebo tabulky spusťte kontrolu přístupnosti, abyste se ujistili, že obsah sady Microsoft Office je pro uživatele všech schopností snadný ke čtení a úpravám.",
"Learn how to put content in your PowerPoint slides to make it accessible to all","Přečtěte si, jak do powerpointových snímků vložíte obsah, aby byl přístupný všem",
"Get started quickly with the Excel Quick Start guide. Learn how to create a workbook, enter data, save your workbook to OneDrive, automatically fill a column with Flash Fill, quickly calculate with AutoSum, create a chart, or use conditional formatting with Quick Analysis, freeze the top row, share your workbook to collaborate with others, and set up your mobile apps.","Začněte rychle s průvodcem rychlým startem v Excelu. Přečtěte si, jak vytvořit sešit, zadat data, uložit sešit na OneDrive, automaticky vyplnit sloupec výplní Flashem, rychle vypočítat pomocí automatického výplně, vytvořit graf nebo použít podmíněné formátování pomocí rychlé analýzy, zmrazit horní řádek, sdílet sešit pro spolupráci s ostatními a nastavit mobilní aplikace.",
"Create a new workbook or insert a worksheet. Learn how to use Excel as your calculator or autofill data in cells.","Vytvořte nový sešit nebo vložte list. Přečtěte si, jak používat Excel jako kalkulačku nebo automatické vyplňování dat v buňkách.",
"Add columns, rows, or cells to an Excel worksheet or delete them. Freeze panes, hide or show rows and columns or filter for unique values.","Přidejte sloupce, řádky nebo buňky do listu aplikace Excel nebo je odstraňte. Ukotvit podokna, skrýt nebo zobrazit řádky a sloupce nebo filtrovat jedinečné hodnoty.",
"Cut, Copy, and Paste to move or copy cell contents. Resize a table, column, or row, Learn how to merge cells, validate data or import/export text.","Vysekejte, zkopírujte a vkládáte, abyste přesunuli nebo zkopíroval obsah buňky. Velikost tabulky, sloupce nebo řádku: Zjistěte, jak sloučit buňky, ověřit data nebo importovat nebo exportovat text.",
"Format numbers in cells for things like currency, percentages, decimals, dates, phone numbers, or social security numbers. Set up conditional formatting, align or rotate text, or add a watermark.","Formátování čísel v buňkách pro věci, jako je měna, procenta, desetinná místa, kalendářní data, telefonní čísla nebo čísla sociálního zabezpečení. Nastavte podmíněné formátování, zarovnejte nebo otočte text nebo přidejte vodoznak.",
"Learn how to create formulas and use built-in functions to perform calculations and solve problems. Learn to use VLOOKUP, SUM, COUNTIF, IF and more.","Naučte se vytvářet vzorce a používat vestavěné funkce k provádění výpočtů a řešení problémů. Naučte se používat funkce SVYHLEDAT, SUMA, COUNTIF, KDYŽ a další.",
"Learn how to create and format tables, sort data, and filter data in a table. Discover how to total data in a table or use slicers to filter data.","Přečtěte si, jak vytvářet a formátovat tabulky, třídit data a filtrovat data v tabulce. Zjistěte, jak sečtení dat v tabulce nebo použití průřezů k filtrování dat.",
"Charts help you visualize your data in a way that creates maximum impact on your audience. Learn to create a chart, add a trendline, analyze data instantly or update an existing chart.","Grafy vám pomohou vizualizovat data způsobem, který na vaše publikum bude mít maximální dopad. Naučte se vytvořit graf, přidat spojnice trendu, okamžitě analyzovat data nebo aktualizovat existující graf.",
"Excel PivotTables are a powerful tool to calculate, summarize, and analyze data and see comparisons, patterns, and trends in your data. Learn how to create a PivotTable to analyze worksheets, tables, and ranges, use the Field List to arrange fields, group or ungroup data, sort data, filter data, and create a PivotChart.","Kontingenční tabulky aplikace Excel jsou mocným nástrojem pro výpočet, shrnutí a analýzu dat a zobrazení porovnání, vzorů a trendů v datech. Naučte se vytvářet kontingenční tabulky pro analýzu listů, tabulek a oblastí, pomocí seznamu polí uspořádat pole, seskupit nebo oddělit data, seřadit data, filtrovat data a vytvořit kontingenční graf.",
"Learn how to share a workbook with others, right within Excel. You can let them edit the workbook or just view it. Also learn how to lock or unlock specific areas, protect an Excel file, or save to PDF.","Přečtěte si, jak sdílet sešit s ostatními přímo v Excelu. Sešit můžete upravit nebo jen zobrazit. Přečtěte si také, jak uzamknout nebo odemknout určité oblasti, chránit soubor Excelu nebo uložit do PDF.",
"Automatically number rows, calculate the difference between two dates, define and use names in formulas, and combine text from two or more cells in one cell.","Automaticky čísluje řádky, vypočítává rozdíl mezi dvěma daty, definuje a používá názvy ve vzorcích a kombinuje text ze dvou nebo více buněk v jedné buňce.",
"With linked data types, you can insert and work with reliable data from trusted online data sources.","Pomocí propojených datových typů můžete vkládat a pracovat se spolehlivými daty z důvěryhodných online zdrojů dat.",
"Track information and organize work with Microsoft Lists. Create a list from scratch, from Excel, from an existing list, or from a template.","Sledujte informace a organizujte práci se seznamy společnosti Microsoft. Vytvořte seznam od začátku, z Excelu, z existujícího seznamu nebo ze šablony.",
"Learn the basics of Microsoft 365 with our tutorials that will help you Get Started, Create and Save Files, Share and Collaborate, and work with Microsoft Teams.","Základy Microsoftu 365 se dozvíte pomocí našich kurzů, které vám pomůžou začít, vytvářet a ukládat soubory, sdílet a spolupracovat a spolupracovat s Microsoft Teams.",
"Understand Microsoft 365 basics including Signing in and Getting Started at Office.com.","Principy Microsoftu 365 včetně přihlášení a začínáme na Office.com.",
"Learn how to Use Desktop Apps, Use Office.com Apps, Save Files to the Cloud, and Sync Files on Demand with OneDrive.","Přečtěte si, jak používat desktopové aplikace, Office.com aplikace, ukládat soubory do cloudu a synchronizovat soubory na vyžádání s OneDrivem.",
"Share files in Microsoft 365 and also learn how to Co-Author Files, Use @mentions, and Follow-ups.","Sdílejte soubory v Microsoftu 365 a také se dozvíte, jak spolutvářit soubory, @mentions a následná opatření.",
"Work with Microsoft Teams to collaborate with your team, help your team stay organized, and have conversations – all in one place. Learn how to create teams and channels, add a tab, pin a channel, create and format a post, start and pin a chat, make calls, join a Teams meeting, and learn tips and best practices to schedule, start, and run an effective meeting.","Spolupracujte s Microsoft Teams na spolupráci s vaším týmem, pomozte svému týmu zůstat organizovaný a vést konverzace – to vše na jednom místě. Přečtěte si, jak vytvářet týmy a kanály, přidávat karty, připnout kanál, vytvářet a formátovat příspěvek, startovat a připnout chat, volat, připojovat se ke schůzce Teams a učit se tipy a doporučené postupy pro naplánování, zahájení a spuštění efektivní schůzky.",
"Get the most out of Windows by learning how to Find your Stuff in Windows 10, Use Microsoft Edge, and Search with Bing.","Vysázejte z Windows co nejvíc tím, že se naučíte, jak najít své věci ve Windows 10, používat Microsoft Edge a Hledat s Bingem.",
"Learn how to Work from anywhere by using the OneDrive Mobile App and the Outlook Mobile App.","Pomocí mobilní aplikace OneDrive a aplikace Outlook Mobile se dozvíte, jak pracovat odkudkoli.",
"Learn about Cool Microsoft 365 features such as PowerPoint Designer, Ideas in Excel, Editor in Word, and Making your Content Accessible.","Přečtěte si o skvělých funkcích Microsoftu 365, jako je PowerPoint Designer, Nápady v Excelu, Editor ve Wordu a Zpřístupnění obsahu.",
"Build a form in minutes. Learn how to add questions to your form, define settings, share your form, and check results in just a few easy steps!","Vytvořte formulář během několika minut. Přečtěte si, jak do formuláře přidat otázky, definovat nastavení, sdílet formulář a zkontrolovat výsledky v několika jednoduchých krocích!",
"Learn how to use Forms to create surveys, quizzes, and polls, and easily see results as they come in.","Přečtěte si, jak pomocí formulářů vytvářet průzkumy, kvízy a ankety a snadno zobrazit výsledky při jejich přihlašování.",
"Learn how to collaborate with colleagues on your quizzes and forms and share your quiz or form as a template for others to use independently.","Přečtěte si, jak spolupracovat s kolegy na kvízech a formulářích a sdílet kvíz nebo formulář jako šablonu, kterou mohou ostatní používat nezávisle.",
"Get started quickly with the Microsoft Teams Quick Start guide. Learn how to sign in to Teams, pick a team and channel, chat in Teams, start a new conversation, reply to a conversation, use emojis, memes, and GIFs, share a file, collaborate with @mention, check your Activity Feed, search for messages, people, or files, and set up your mobile apps.","Začněte rychle s průvodcem Microsoft Teams Quick Start. Přečtěte si, jak se přihlásit k Teams, vybrat tým a kanál, chatovat v Teams, zahájit novou konverzaci, odpovědět na konverzaci, používat emodži, memy a GIFy, sdílet soubor, spolupracovat s @mention, zkontrolovat kanál aktivit, vyhledávat zprávy, lidi nebo soubory a nastavit mobilní aplikace.",
"Microsoft Teams is a collaboration app that helps your team stay organized and have conversations—all in one place. With Intro to Microsoft Teams, get an overview of teams, channels, meetings, conversations, tabs, share files, collaborate real time, find files, add people to a chat, make a call, manage your calendar, schedule a meeting, join meetings, share content, record a meeting, view our activity feed, and use the command box to search for people, items, or apps.","Microsoft Teams je aplikace pro spolupráci, která pomáhá vašemu týmu zůstat organizovaný a vést konverzace na jednom místě. S úvodem do Microsoft Teams získejte přehled o týmech, kanálech, schůzkách, konverzacích, kartách, sdílení souborů, spolupráci v reálném čase, hledání souborů, přidávání lidí do chatu, volání, správě kalendáře, plánování schůzky, připojování se ke schůzkám, sdílení obsahu, nahrávání schůzky, zobrazení našeho informačního kanálu o aktivitách a použití příkazového pole k vyhledávání osob, položek,  nebo aplikací.",
"Start 1:1 or group chats to collaborate with a smaller group or to talk privately, and pin chats for quick access.","Začněte chatovat 1:1 nebo skupinové chaty, abyste mohli spolupracovat s menší skupinou nebo mluvit soukromě, a připnout chaty pro rychlý přístup.",
"Use Microsoft Teams to set up and customize your team. Learn how to create a public or private team, add members to a team, create a channel, and use manage team to find members, channels, settings, and apps for your team. There’s also a go-to guide for team owners to add and remove members, add team owners, manage channels, and change team settings. You can also pin a channel and reorder your teams, to organize your teams list.","Pomocí Microsoft Teams můžete nastavit a přizpůsobit svůj tým. Přečtěte si, jak vytvořit veřejný nebo soukromý tým, přidat členy do týmu, vytvořit kanál a pomocí spravovat tým najít členy, kanály, nastavení a aplikace pro váš tým. Majitelé týmů mohou také přidávat a odebírat členy, přidávat vlastníky týmů, spravovat kanály a měnit nastavení týmu. Můžete také připnout kanál a změnit pořadí týmů a uspořádat seznam týmů.",
"Explore apps and tools in Teams and learn how to add tools, turn a file into a tab, and use the command box.","Prozkoumejte aplikace a nástroje v Teams a zjistěte, jak přidat nástroje, změnit soubor na kartu a použít příkazové pole.",
