"OriginalEnglish","Translation","Locations"
"
"Use Microsoft 365 across your organization","Korzystanie z platformy Microsoft 365 w całej organizacji","/docs/learningpathways/v4/pl-pl/playlists.json;cb4effb6-f78e-444a-98b7-6274ad2fe70c;Title
"
"Day in your digital life with Office 365","Dzień w cyfrowym życiu dzięki usłudze Office 365","/docs/learningpathways/v4/pl-pl/playlists.json;1f5ec8e6-5fef-481a-ad87-59842c3d539b;Title
"
"Cybersecurity fundamentals","Podstawy cyberbezpieczeństwa","/docs/learningpathways/v4/pl-pl/playlists.json;e51271b2-b4c0-4038-aa97-e4498c953afe;Title
"
"Digital safety","Bezpieczeństwo cyfrowe","/docs/learningpathways/v4/pl-pl/playlists.json;72863bbc-46ae-41dc-885d-0edb0a8abaa4;Title
"
"Top threats","Najczęstsze zagrożenia","/docs/learningpathways/v4/pl-pl/playlists.json;5872570a-e8a6-4d84-8802-4dd053b4dabc;Title
"
"Work remotely with Microsoft 365","Praca zdalna na platformie Microsoft 365","/docs/learningpathways/v4/pl-pl/playlists.json;35f25052-fa93-4daf-8d2e-b29935a002d0;Title
"
"Best practices for collaborating with Microsoft 365","Najlepsze rozwiązania dotyczące współpracy z platformą Microsoft 365","/docs/learningpathways/v4/pl-pl/playlists.json;b7fa7e0e-2282-48d3-8010-3b28d5dc3d04;Title
"
"Access Quick Start","Szybki start w programie Access","/docs/learningpathways/v4/pl-pl/playlists.json;d59b1053-3756-4d9f-82a8-0ac97b11529c;Title
"
"Intro to Access","Wprowadzenie do programu Access","/docs/learningpathways/v4/pl-pl/playlists.json;3c376578-f821-4184-9365-75011c163f68;Title
"
"Create an Access database","Tworzenie bazy danych programu Access","/docs/learningpathways/v4/pl-pl/playlists.json;e112c3e9-685f-41a0-abb5-718ee4f43bb5;Title
"
"Add tables","Dodawanie tabel","/docs/learningpathways/v4/pl-pl/playlists.json;91128a67-3846-4a87-98c5-de91402260eb;Title
"
"Use relationships","Używanie relacji","/docs/learningpathways/v4/pl-pl/playlists.json;6649c605-0d13-4420-9282-3fa590c2fbc4;Title
"
"Add and edit data","Dodawanie i edytowanie danych","/docs/learningpathways/v4/pl-pl/playlists.json;56aba6b0-660b-4f8c-a7d8-9b1ad7593bb4;Title
"
"Manage data with queries","Zarządzanie danymi za pomocą zapytań","/docs/learningpathways/v4/pl-pl/playlists.json;b16495f6-4216-4eed-b208-7280a885ebbf;Title
"
"Create forms","Tworzenie formularzy","/docs/learningpathways/v4/pl-pl/playlists.json;4eb4ff40-6b3f-45a7-ade9-f879a79e70f9;Title
"
"Create reports","Tworzenie raportów","/docs/learningpathways/v4/pl-pl/playlists.json;8580d541-b2ba-4ae2-bd06-ec26ebc59485;Title
"
"Protect databases","Ochrona baz danych","/docs/learningpathways/v4/pl-pl/playlists.json;82c6b011-7190-412e-9d3e-6410eae0d752;Title
"
"Create Charts","Tworzenie wykresów","/docs/learningpathways/v4/pl-pl/playlists.json;2aa461ea-18f5-47d4-a29c-e63fda70f75b;Title
"
"Microsoft 365 Accessibility Overview and Resources","Omówienie i zasoby dotyczące ułatwień dostępu na platformie Microsoft 365","/docs/learningpathways/v4/pl-pl/playlists.json;fbf60a54-6a6c-4c6d-a121-c478f9531a98;Title
"
"Create more accessible email messages in Outlook","Tworzenie bardziej dostępnych wiadomości e-mail w programie Outlook","/docs/learningpathways/v4/pl-pl/playlists.json;cf352e8f-caf6-4e52-86d5-ae218004e089;Title
"
"Create more accessible Word documents","Tworzenie bardziej dostępnych dokumentów programu Word","/docs/learningpathways/v4/pl-pl/playlists.json;76253e80-b36d-479a-9267-e73f2b5a8600;Title
"
"Create more accessible Excel workbooks","Tworzenie skoroszytów programu Excel z ułatwieniami dostępu","/docs/learningpathways/v4/pl-pl/playlists.json;c4d3a610-6289-4979-b0b6-b679ef28c13b;Title
"
"Create more accessible slides in PowerPoint","Tworzenie slajdów z ułatwieniami dostępu w programie PowerPoint","/docs/learningpathways/v4/pl-pl/playlists.json;776fc7e7-cd09-4968-887f-cc04e8558b9e;Title
"
"Excel Quick Start","Excel — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;a8cbac83-f7e8-45ff-a4a6-6b04f31a5745;Title
"
"Intro to Excel","Wprowadzenie do programu Excel","/docs/learningpathways/v4/pl-pl/playlists.json;842fb550-07cb-42d1-9a9f-c55789efed57;Title
"
"Rows & columns","Wiersze i kolumny","/docs/learningpathways/v4/pl-pl/playlists.json;7450f58a-517f-48ae-bace-248346e52275;Title
"
"Cells","Komórek","/docs/learningpathways/v4/pl-pl/playlists.json;59b01879-ea2a-4f76-b2e4-e437fc45c61d;Title
"
"Formatting","Formatowania","/docs/learningpathways/v4/pl-pl/playlists.json;e6656c9b-a36a-4143-8fe4-5b6de0d9486b;Title
"
"Formulas & functions","Formuły i funkcje","/docs/learningpathways/v4/pl-pl/playlists.json;9baa4835-b7d5-4e7e-8bea-0a53a1b91229;Title
"
"Tables","Tabel","/docs/learningpathways/v4/pl-pl/playlists.json;94333445-037d-4222-aa99-a84b1f6125f0;Title
"
"Charts","Wykresy","/docs/learningpathways/v4/pl-pl/playlists.json;50f79020-4453-479a-a7db-301f8863a5a3;Title
"
"PivotTables","Tabele przestawne","/docs/learningpathways/v4/pl-pl/playlists.json;6988bd71-e905-4699-a25c-ba148d6e5bad;Title
"
"Share and co-author","Udostępnianie i współtworzynie","/docs/learningpathways/v4/pl-pl/playlists.json;3ee48085-019d-4256-9ad5-c2d03c82238c;Title
"
"Common use of functions","Powszechne korzystanie z funkcji","/docs/learningpathways/v4/pl-pl/playlists.json;d4b4a842-2858-4cef-a090-51b567d90cc0;Title
"
"Linked data types","Połączone typy danych","/docs/learningpathways/v4/pl-pl/playlists.json;ed55052f-97a3-495c-937f-273c89775b69;Title
"
"Get started with Lists","Wprowadzenie do list","/docs/learningpathways/v4/pl-pl/playlists.json;0c7a8a54-f7fc-4464-8f21-67c961b84f7c;Title
"
"Microsoft 365 for business Quick Start","Microsoft 365 dla firm — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;261009d0-8b5c-4302-bb0f-c993e1ebb51c;Title
"
"Get started with Microsoft 365","Wprowadzenie do platformy Microsoft 365","/docs/learningpathways/v4/pl-pl/playlists.json;8f026372-069d-4449-a116-938bf5aae7ea;Title
"
"Create and save","Tworzenie i zapisywanie","/docs/learningpathways/v4/pl-pl/playlists.json;f4bbc974-3e87-4e2b-a4c8-7cb1d3c35fa3;Title
/docs/learningpathways/v4/pl-pl/assets.json;93439db5-c08a-4a93-b3b9-9f3ecc63fcfc;Title
/docs/learningpathways/v4/pl-pl/assets.json;fb440590-1b4d-4562-94ba-61123b299e3d;Title
"
"Share and collaborate","Udostępnianie i współpraca","/docs/learningpathways/v4/pl-pl/playlists.json;f7fc4bc7-12f5-44bc-9bd4-c122e891061d;Title
/docs/learningpathways/v4/pl-pl/playlists.json;fe752d83-36ae-4209-92f8-e340e9bf696e;Title
/docs/learningpathways/v4/pl-pl/assets.json;be096b45-709c-473a-afb9-f7a998b3f435;Title
/docs/learningpathways/v4/pl-pl/assets.json;07fcfb59-f410-4e52-9c60-3b069a805ee5;Title
"
"Work with Microsoft Teams","Praca z usługą Microsoft Teams","/docs/learningpathways/v4/pl-pl/playlists.json;fa7efdbf-ddd5-46b4-86c0-4d75b3893c85;Title
"
"Get the most out of Windows","Wykorzystaj w pełni system Windows","/docs/learningpathways/v4/pl-pl/playlists.json;ffdf1665-6516-4d78-b9d3-39985b60c06b;Title
"
"Work from anywhere","Pracuj z dowolnego miejsca","/docs/learningpathways/v4/pl-pl/playlists.json;861f0286-c3b5-4a76-9b7e-77c1bf39572d;Title
"
"Cool Microsoft 365 features","Fajne funkcje platformy Microsoft 365","/docs/learningpathways/v4/pl-pl/playlists.json;477ad890-043c-4d3c-982e-40c540f10009;Title
"
"Get started","Rozpocząć","/docs/learningpathways/v4/pl-pl/playlists.json;d8ec3a54-3ddf-4e02-8631-b89c3f032184;Title
/docs/learningpathways/v4/pl-pl/assets.json;0849ef75-564f-450a-93e5-b27508d81c53;Title
/docs/learningpathways/v4/pl-pl/metadata.json;Category;646b4eb4-32c0-4fdc-93fa-0ef895470b74
"
"Privacy and security","Prywatność i bezpieczeństwo","/docs/learningpathways/v4/pl-pl/playlists.json;479705db-2e50-4a8b-8a2e-a2a3d59ce61b;Title
"
"Personalize","Personalizacji","/docs/learningpathways/v4/pl-pl/playlists.json;2af83d1d-0ad1-4194-bcaa-939f32153a87;Title
"
"Forms Quick Start","Formularze — szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;77061d5e-2222-4748-ac80-7d03d2587bd3;Title
"
"Create a form and view results","Tworzenie formularza i wyświetlanie wyników","/docs/learningpathways/v4/pl-pl/playlists.json;b873fd99-81be-483a-a8e0-16fcfe0fa120;Title
"
"Teams Quick Start","Szybki start dla aplikacji Teams","/docs/learningpathways/v4/pl-pl/playlists.json;d3acd5c2-0488-4104-935a-61fda884bc49;Title
"
"Intro to Microsoft Teams","Wprowadzenie do usługi Microsoft Teams","/docs/learningpathways/v4/pl-pl/playlists.json;bc9d8a0a-58f1-42cc-bdcf-9ee10b73ba24;Title
"
"Start chats and calls","Rozpoczynanie czatów i połączeń","/docs/learningpathways/v4/pl-pl/playlists.json;2346ff06-6646-4084-845d-2ee5971f3634;Title
"
"Set up and customize your team","Konfigurowanie i dostosowywanie zespołu","/docs/learningpathways/v4/pl-pl/playlists.json;b6b28572-87d3-4c71-a565-8d4a8e18d406;Title
"
"Explore apps and tools","Poznaj aplikacje i narzędzia","/docs/learningpathways/v4/pl-pl/playlists.json;4374d7da-95a5-4e13-a14b-2e43e1277d53;Title
"
"Collaborate in teams and channels","Współpraca w zespołach i kanałach","/docs/learningpathways/v4/pl-pl/playlists.json;d4f4cae2-ce9a-483a-a786-93974e40b482;Title
"
"Work with posts and messages","Praca z postami i wiadomościami","/docs/learningpathways/v4/pl-pl/playlists.json;7a057fc3-74eb-46ab-991d-50e2e665f95d;Title
"
"Upload and find files","Przesyłanie i znajdowanie plików","/docs/learningpathways/v4/pl-pl/playlists.json;044071b3-a780-4a24-b0b1-a4951ee48a3f;Title
"
"Set up and attend live events","Konfigurowanie wydarzeń na żywo i uczestniczenie w ich wydarzeniach","/docs/learningpathways/v4/pl-pl/playlists.json;729bcb7f-43bc-4d38-a0df-8fbf38b80e56;Title
"
"Manage Meetings","Zarządzanie spotkaniami","/docs/learningpathways/v4/pl-pl/playlists.json;fae33957-cb84-4185-ab78-2bd3818b31ee;Title
/docs/learningpathways/v4/pl-pl/assets.json;919b4bd2-6c85-4792-bf60-57258cabe71d;Title
"
"Manage your activity feed","Zarządzanie kanałem aktywności","/docs/learningpathways/v4/pl-pl/playlists.json;2b830deb-c2f7-46b4-9c0f-eb3150a9f083;Title
"
"Teams on the go","Zespoły w podróży","/docs/learningpathways/v4/pl-pl/playlists.json;90ecbd2b-a1a7-4da1-8355-c1f65c4af298;Title
"
"Manage team schedules with Shifts","Zarządzaj harmonogramami zespołu za pomocą zmian","/docs/learningpathways/v4/pl-pl/playlists.json;2ba46e26-5c63-48b9-818c-f49354b3b5d1;Title
"
"Create and manage bookings","Tworzenie rezerwacji i zarządzanie nimi","/docs/learningpathways/v4/pl-pl/playlists.json;6f59454d-6ed1-4733-8825-c9616564565d;Title
"
"Create approvals","Tworzenie zatwierdzeń","/docs/learningpathways/v4/pl-pl/playlists.json;634948c6-8f39-4bc4-a0ee-f42dc12b511c;Title
"
"Office for the web: Get started","Office dla sieci Web: wprowadzenie","/docs/learningpathways/v4/pl-pl/playlists.json;eda0aa68-24ac-46a1-83db-e04f929be0d6;Title
"
"Office for the web: Outlook for the web","Office dla sieci Web: outlook dla sieci Web","/docs/learningpathways/v4/pl-pl/playlists.json;610da080-333a-449f-9f81-21c556c0a961;Title
"
"Office for the web: Word for the web","Office dla sieci Web: program Word dla sieci Web","/docs/learningpathways/v4/pl-pl/playlists.json;e2fb04a4-7e0c-40ff-994b-d92c80c00df0;Title
"
"Office for the Web: Excel for the Web","Office dla sieci Web: excel dla sieci Web","/docs/learningpathways/v4/pl-pl/playlists.json;803f7002-9bc0-4d96-a898-9770f1b8bcdf;Title
"
"Office for the web: PowerPoint for the web","Office dla sieci Web: PowerPoint dla sieci Web","/docs/learningpathways/v4/pl-pl/playlists.json;164ee353-bb72-4e17-8bed-d7824241b341;Title
"
"Office for the web: Share your documents","Office dla sieci Web: udostępnianie dokumentów","/docs/learningpathways/v4/pl-pl/playlists.json;69149089-33ca-4e3c-863d-713768570323;Title
/docs/learningpathways/v4/pl-pl/assets.json;39d8fb04-8063-482f-93e3-2fc4f6f421a9;Title
"
"OneDrive QuickStart","OneDrive — szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;c9ecc2e9-bc17-496a-8b0b-9242b6bb3eaf;Title
"
"Intro to OneDrive (work or school)","Wprowadzenie do usługi OneDrive (służbowej)","/docs/learningpathways/v4/pl-pl/playlists.json;d6021ad3-8709-4c7f-bd74-58517dfc902e;Title
"
"Manage your files with OneDrive","Zarządzanie plikami za pomocą usługi OneDrive","/docs/learningpathways/v4/pl-pl/playlists.json;3c24a6b8-a3d7-4133-ba59-08d705fe8160;Title
"
"Share and Sync with OneDrive","Udostępnianie i synchronizowanie z usługą OneDrive","/docs/learningpathways/v4/pl-pl/playlists.json;f007841f-fde2-463c-8043-035084c00ba5;Title
"
"OneNote Quick Start","OneNote — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;a324d70a-4727-43e3-b78a-be93092d3dd0;Title
"
"Intro to OneNote","Wprowadzenie do programu OneNote","/docs/learningpathways/v4/pl-pl/playlists.json;55d81409-752a-4bd8-8c2b-cfc937359358;Title
"
"Take notes with OneNote","Rób notatki w programie OneNote","/docs/learningpathways/v4/pl-pl/playlists.json;b63ab88a-2478-44a0-80a9-661849142f29;Title
"
"Format notes with OneNote","Formatowanie notatek w programie OneNote","/docs/learningpathways/v4/pl-pl/playlists.json;8c0e0a94-ac56-4ed8-a385-caea31145761;Title
"
"Draw and sketch with OneNote","Rysowanie i szkicowanie w programie OneNote","/docs/learningpathways/v4/pl-pl/playlists.json;17a6d04a-e893-4b67-932f-529f70868150;Title
"
"Stay organized with OneNote","Zachowaj porządek dzięki programowi OneNote","/docs/learningpathways/v4/pl-pl/playlists.json;352e7758-5888-40c5-b765-edc83d7c64b3;Title
"
"Share and sync with OneNote","Udostępnianie i synchronizowanie z programem OneNote","/docs/learningpathways/v4/pl-pl/playlists.json;30190ee7-5d18-4c8c-9104-42b06388bee7;Title
"
"OneNote on mobile devices","Program OneNote na urządzeniach przenośnych","/docs/learningpathways/v4/pl-pl/playlists.json;54d20fd4-0c72-404a-b0d8-93e64fcc0e36;Title
"
"Outlook Quick Start","Szybki start dla programu Outlook","/docs/learningpathways/v4/pl-pl/playlists.json;e66fa8f3-ec7e-47f9-9d79-4d334f157563;Title
"
"Set up and customize Outlook","Konfigurowanie i dostosowywanie programu Outlook","/docs/learningpathways/v4/pl-pl/playlists.json;79fe1eb2-571e-4cbe-98b9-913692ddd387;Title
"
"Create and send email","Tworzenie i wysyłanie wiadomości e-mail","/docs/learningpathways/v4/pl-pl/playlists.json;44bb07ac-1c25-43fa-885d-4a0476734c9f;Title
/docs/learningpathways/v4/pl-pl/assets.json;19c32deb-08b6-4f90-a211-02bc5f77f360;Title
"
"Manage email","Zarządzanie pocztą e-mail","/docs/learningpathways/v4/pl-pl/playlists.json;8d87d80d-b5df-45a9-9164-e03d74cca066;Title
"
"Organize your inbox","Porządkowanie skrzynki odbiorczej","/docs/learningpathways/v4/pl-pl/playlists.json;ab55d6d4-c932-48a5-a062-a5e760fda581;Title
"
"Contacts and tasks in Outlook","Kontakty i zadania w programie Outlook","/docs/learningpathways/v4/pl-pl/playlists.json;94a14949-5322-4bfb-b45a-f66e67286e98;Title
"
"Outlook Calendar","Kalendarz programu Outlook","/docs/learningpathways/v4/pl-pl/playlists.json;534d99cd-2b9b-4a9d-acde-c83fcfc082aa;Title
"
"Outlook mobile: Manage your inbox","Outlook mobile: zarządzanie skrzynką odbiorczą","/docs/learningpathways/v4/pl-pl/playlists.json;cf0a88b6-99be-4db9-8312-a762cfd9976a;Title
"
"Outlook mobile: Manage your time","Outlook mobile: zarządzanie czasem","/docs/learningpathways/v4/pl-pl/playlists.json;07666fb2-f6a8-416d-9805-78072ade58ca;Title
"
"Outlook mobile: People and connections","Outlook Mobile: Osoby i połączenia","/docs/learningpathways/v4/pl-pl/playlists.json;a0cbd9cd-bfeb-4976-b39d-8c21da669d0f;Title
"
"Outlook mobile: Search and share","Outlook mobile: wyszukiwanie i udostępnianie","/docs/learningpathways/v4/pl-pl/playlists.json;8405be6d-8da0-40d4-aa5c-ac00d4697c2b;Title
"
"Planner Quick Start","Planner — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;f0e74200-1232-4659-8e66-4a037496dcad;Title
"
"Ideas for your board","Pomysły na Twoją tablicę","/docs/learningpathways/v4/pl-pl/playlists.json;66e36e66-d38b-4103-9c34-1201c2f2eb7f;Title
"
"Use Planner","Korzystanie z Aplikacji Planner","/docs/learningpathways/v4/pl-pl/playlists.json;4a1a5131-1a63-4398-8105-ae9a18c20af8;Title
"
"PowerPoint Quick Start","PowerPoint — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;df1a81f5-17a5-4a7a-b214-dfeb4f677afb;Title
"
"Intro to PowerPoint","Wprowadzenie do programu PowerPoint","/docs/learningpathways/v4/pl-pl/playlists.json;b7593732-a75a-4542-9d72-4932c505b92f;Title
"
"Slides and layouts","Slajdy i układy","/docs/learningpathways/v4/pl-pl/playlists.json;4851d3e7-0790-4ccb-b943-cfa0558b4ef6;Title
"
"Text & tables with PowerPoint","Tekst i tabele w programie PowerPoint","/docs/learningpathways/v4/pl-pl/playlists.json;9933fa88-bb9e-4dec-8124-abe44b89222c;Title
"
"Pictures and graphics with PowerPoint","Obrazy i grafiki w programie PowerPoint","/docs/learningpathways/v4/pl-pl/playlists.json;8c91aac4-cb1b-4204-a53a-9aac2641f16a;Title
"
"Present slideshows","Prezentowanie pokazów slajdów","/docs/learningpathways/v4/pl-pl/playlists.json;e1144779-6751-4415-a1d4-24e0303ea6db;Title
"
"Animation, video & audio","Animacja, wideo i audio","/docs/learningpathways/v4/pl-pl/playlists.json;fe0408f3-0971-4415-a100-f58a5dc2a0b8;Title
"
"Share and co-author with PowerPoint","Udostępnianie i współtworzynie w programie PowerPoint","/docs/learningpathways/v4/pl-pl/playlists.json;ee7fc2e1-a42d-452e-ab90-e8131b08a9b1;Title
"
"SharePoint Online Quick Start","SharePoint Online — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;24216b89-7d0d-4263-b61e-2ecbda58f1df;Title
"
"Intro to SharePoint Online","Wprowadzenie do usługi SharePoint Online","/docs/learningpathways/v4/pl-pl/playlists.json;4d722e7d-6cb1-4399-998d-6f8645f63ffa;Title
"
"Create sites, posts, and lists","Tworzenie witryn, postów i list","/docs/learningpathways/v4/pl-pl/playlists.json;d542016a-fdf9-4c8e-b4ea-eed1afc7df93;Title
"
"Share and sync with SharePoint","Udostępnianie i synchronizowanie z programem SharePoint","/docs/learningpathways/v4/pl-pl/playlists.json;6601f080-d86a-4d0c-9e60-150746bf8f96;Title
"
"Sway Quick Start","Sway — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;63354a03-0b23-49c3-bf57-b992fdc3a00a;Title
"
"Share and access Sway","Udostępnianie swaya i uzyskiwanie do nim dostępu","/docs/learningpathways/v4/pl-pl/playlists.json;9be47117-f14e-4cb6-ab52-41b59eac1178;Title
"
"Add content to Sway","Dodawanie zawartości do swaya","/docs/learningpathways/v4/pl-pl/playlists.json;f23758f6-482e-4435-bd90-b815668f6305;Title
"
"Customize Sway","Dostosowywanie swaya","/docs/learningpathways/v4/pl-pl/playlists.json;07e15804-1e84-4212-ac8d-a222df4e075c;Title
"
"Word Quick Start","Word — Szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;a958fdc7-d697-43f1-b3b3-a3f467ff94cd;Title
"
"Welcome to Word","Witamy w programie Word","/docs/learningpathways/v4/pl-pl/playlists.json;5250bdca-1dac-4242-9ec9-3badda06b5f8;Title
"
"Write and edit with Word","Pisanie i edytowanie w programie Word","/docs/learningpathways/v4/pl-pl/playlists.json;f74d0622-642d-4f98-906f-2960a2c05d31;Title
"
"Lay out pages with Word","Układanie stron za pomocą programu Word","/docs/learningpathways/v4/pl-pl/playlists.json;2bb5f49a-da1c-49e8-b7e8-04cfc6936f25;Title
"
"Insert tables, pictures, and watermarks","Wstawianie tabel, obrazów i znaków wodnych","/docs/learningpathways/v4/pl-pl/playlists.json;67cb976e-6129-4bed-a769-3691cb7562d8;Title
"
"Save and print with Word","Zapisywanie i drukowanie w programie Word","/docs/learningpathways/v4/pl-pl/playlists.json;cef03778-baf8-4365-8b23-413c5edd6b66;Title
"
"Share and co-author with Word","Udostępnianie i współtworzynie w programie Word","/docs/learningpathways/v4/pl-pl/playlists.json;fb5155d7-a802-4e95-b1ce-f8baea8cb44b;Title
"
"Use Word for reports","Używanie programu Word do obsługi raportów","/docs/learningpathways/v4/pl-pl/playlists.json;26aa6ac6-24aa-43c5-ad1c-d93359ab3674;Title
"
"Improve accessibility and ease of use with Word","Poprawianie ułatwień dostępu i łatwości użytkowania za pomocą programu Word","/docs/learningpathways/v4/pl-pl/playlists.json;4210a245-a2ae-4b6a-88a7-83ebef901aa7;Title
"
"Add and format text with Word","Dodawanie i formatowanie tekstu za pomocą programu Word","/docs/learningpathways/v4/pl-pl/playlists.json;2885901b-1655-4311-a7f9-025852a659e4;Title
"
"Yammer Quick Start","Yammer — szybki start","/docs/learningpathways/v4/pl-pl/playlists.json;575bed47-83d8-49cb-affa-51d9497ab93b;Title
"
"Roll out a successful Yammer network","Wdrażanie udanej sieci yammer","/docs/learningpathways/v4/pl-pl/playlists.json;19382980-771c-413e-a2af-626165fdabba;Title
"
"Use Yammer every day","Codzienne korzystanie z usługi Yammer","/docs/learningpathways/v4/pl-pl/playlists.json;02f5792f-4eed-4122-91ed-348560c3fac9;Title
"
"What's New, What's Changed","Co nowego, co się zmieniło","/docs/learningpathways/v4/pl-pl/playlists.json;d4df5f82-2049-4c03-aab3-50e5a2dc8ad2;Title
"
"Plan your learning content","Planowanie treści edukacyjnych","/docs/learningpathways/v4/pl-pl/playlists.json;9a105f80-b260-44ad-ba1a-8e2ea9f5bfdc;Title
/docs/learningpathways/v4/pl-pl/assets.json;c828dfeb-1fd1-4c39-a3c6-cf8df3669693;Title
"
"Customize learning pathways","Dostosuj ścieżki uczenia się","/docs/learningpathways/v4/pl-pl/playlists.json;545e374b-f33e-4d62-8e6f-3ec36b6b28fe;Title
"
"Drive adoption","Zwiększanie popularności","/docs/learningpathways/v4/pl-pl/playlists.json;66f9b195-d48e-49e3-bb0e-1848a49b1351;Title
"
"Measure impact","Pomiar wpływu","/docs/learningpathways/v4/pl-pl/playlists.json;08365272-6868-4482-9384-b720d0121533;Title
"
"Creating a Champion Program","Tworzenie programu Champion","/docs/learningpathways/v4/pl-pl/playlists.json;037adb49-b480-4a70-8389-5caeaec1a640;Title
"
"Get started with Microsoft 365 in six simple steps. Sign in and get started at office.com, create and save files securely in the cloud, share files and collaborate with others in real time, work with your team in teams and channels with Microsoft teams, set up your mobile apps, and try new things.","Rozpocznij pracę z platformą Microsoft 365 w sześciu prostych krokach. Zaloguj się i rozpocznij pracę w office.com, bezpiecznie twórz i zapisuj pliki w chmurze, udostępniaj pliki i współpracuj z innymi w czasie rzeczywistym, pracuj z zespołem w zespołach i kanałach z zespołami Microsoft, skonfiguruj aplikacje mobilne i wypróbuj nowe rzeczy.","/docs/learningpathways/v4/pl-pl/playlists.json;959166d8-1cb7-4315-af20-541598ebecaa;Description
